product_id,category_id,category_path,main_image_id,secondary_image_id
e5ef0593-f573-4176-a8dc-b88d747c72b6,61134c57,db6e4514/928d326d/b145f96e/1c3a1671/0824afae/61134c57,997b949c-f3c2,62552955-ca1d
829ab955-9e46-4f6d-97f8-ce4fa62fc3b2,533f0766,db6e4514/d8d2ce05/5ba4aaaa/2ae2ea0e/533f0766,6a6526f4-7ea0,
89349870-6962-4f86-8d5d-6890d0fa7ad2,010870b0,db6e4514/d8d2ce05/5ba4aaaa/b5eb8e65/010870b0,d117fb37-188b,e4a69966-9e4a
fc5eb066-0bf7-42f2-a8e3-c4c65cf0cc77,7a0f3f68,db6e4514/928d326d/b145f96e/1c3a1671/9ec92cce/7a0f3f68,43d22ab0-8c2c,d85940ac-769d
70a9df34-0fe2-4985-b92c-cd85af829005,4a9b7167,db6e4514/c225693c/a85bf8c8/4a9b7167,6c8bcc83-53d3,
3ca0b356-a52a-4bcf-bcad-a9b4548c5d84,73e97c7e,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/73e97c7e,1c9cefa3-ed1e,b95c41fc-04be
7ea05223-b7f2-4085-ab56-664d3d6fce3d,cf630744,db6e4514/9699ae0b/0fc18ec1/195e53a6/93f8da7d/cf630744,5eedbefc-de09,8a28c3be-f01b
28403c80-276d-4cf6-aeb4-3ad93d069135,01863d03,db6e4514/928d326d/b145f96e/3b90c15a/b8761741/13f8d0c1/01863d03,bc3c2471-f382,
97a4d770-37bd-44c4-b670-3da6cccdb819,d83d289d,db6e4514/1def83d5/1c71253d/d83d289d,bff188d2-23b5,
cded3b11-19ca-481e-9674-4033084a6f21,9f851daf,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/9f851daf,34ddc919-9bad,9dab7294-1977
8a8dcf31-3426-4ddc-803a-e939b721e266,399921db,db6e4514/928d326d/b145f96e/1c3a1671/9ec92cce/399921db,cbf97ff7-6806,e493195f-ff2b
6630e525-8df9-44f8-84cc-3480959c8e44,9abd815a,db6e4514/9699ae0b/0fc18ec1/4aa2b4eb/734bd9ee/05a57185/9abd815a,4ae9a4d4-7dd0,
a578b3ba-76ee-4461-bbff-7cf0895bfa08,e75b2e86,db6e4514/928d326d/b145f96e/1c3a1671/9ec92cce/e75b2e86,d6388059-1f65,a8bc2ef9-974e
60062348-0f0e-4db8-943e-44493ef4b3e4,4a9b7167,db6e4514/c225693c/a85bf8c8/4a9b7167,5b4d7027-597b,
bb9ca424-8ccb-425a-a208-59064875a316,15e4fb4b,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/db1a38d8/1f11644a/15e4fb4b,3f6b2afe-c618,c013f772-0810
8d5b484a-e67c-44b4-b4cc-ce6fd841515b,a2d33a91,db6e4514/f67b30f8/0146acba/21f401d0/f06a9e28/2e332eda/a2d33a91,cc3ae76a-c8b1,eaad6a84-9d91
90d4e995-0b35-41a4-8483-634b87d14f5c,61134c57,db6e4514/928d326d/b145f96e/1c3a1671/0824afae/61134c57,9a077ab8-7692,32785a57-415c
841583e9-32ce-4f94-89eb-78c54778dd08,e9cfa110,db6e4514/9699ae0b/0fc18ec1/4d8a5187/e9cfa110,fe19f57a-e8a2,a08cf4d9-caab
73c86905-29e2-43ab-87d3-566a58389f2d,9abd815a,db6e4514/9699ae0b/0fc18ec1/4aa2b4eb/734bd9ee/05a57185/9abd815a,bc8a8463-b88b,bc8a8463-b88b
bd084083-de01-47ea-9d9a-be57b28f2054,83fb5024,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/db1a38d8/e3b159d7/83fb5024,d9040837-15f2,d9040837-15f2
