product_id,category_id,category_path,main_image_id,secondary_image_id
b82e6254-3ec9-46a2-b8f7-b5929e035496,9f851daf,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/9f851daf,fea69231-ebb4,658ca173-9caa
43e37281-92dd-4b16-9ccd-fca0d095568d,068c35b0,db6e4514/9699ae0b/0fc18ec1/4d8a5187/b9e4f158/068c35b0,6d1f2537-032a,a815d5b4-a8c0
7d9c8f22-0d2c-4c13-aed8-071d9aefb5b3,f7ac9307,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/f7ac9307,f571dad3-6b0d,82194909-b4ad
07d66a64-d8a2-4f87-8b37-b063aad33b9d,92df953a,db6e4514/d8d2ce05/5ba4aaaa/2f35b995/92df953a,b741aa90-0c27,d246e435-b7e5
db7c0046-f9e1-4a7e-865c-e0a6dcd90086,5af8e010,db6e4514/c225693c/ea17ab48/ab190885/1f310b6a/11d1d554/5af8e010,6a759b3d-54c1,d8561940-c744
0c186611-f9fb-49cf-97cc-6c453b3b4076,f325c835,db6e4514/9699ae0b/0fc18ec1/195e53a6/9c5b6a47/f325c835,824c2e59-060d,
ffac4cd4-2233-4082-b994-661037cd5885,be737efb,db6e4514/1def83d5/1c71253d/be737efb,a1f7eadc-292a,
35a1f575-f3b0-4cad-a1f0-3297b7499690,7b2035b2,db6e4514/9699ae0b/0fc18ec1/4d8a5187/aabe50be/7b2035b2,753bf1fd-7c27,46d91ae5-12c3
4210e729-19b0-4555-bab9-0576b7ab4335,d0220353,db6e4514/f67b30f8/0146acba/21f401d0/f06a9e28/2e332eda/d0220353,60552d51-58a9,87f2e185-9808
67ab9a48-5dd7-4408-a15b-8c581e94079f,1775f878,db6e4514/d8d2ce05/5ba4aaaa/2f35b995/5a8baa6c/1775f878,afc6006a-7c0c,690d6f7b-abb3
fc452b30-0afe-482d-93c9-3066e70f84a7,89406e32,db6e4514/9699ae0b/0fc18ec1/195e53a6/93f8da7d/89406e32,e3b9d295-051b,d25ce324-c73c
e7ca3ebb-d3f0-4ffe-a1df-0eb97eb7c9c2,ccb07f7f,db6e4514/9699ae0b/0fc18ec1/195e53a6/365258c4/ccb07f7f,90e1d0df-362c,4dde0826-7684
74ddd443-e02b-4d8e-8424-12c7c48c8399,01863d03,db6e4514/928d326d/b145f96e/3b90c15a/b8761741/13f8d0c1/01863d03,a6df197d-4c3a,
421dd93d-cb13-4ea8-9866-c2d9d33cbd92,9abd815a,db6e4514/9699ae0b/0fc18ec1/4aa2b4eb/734bd9ee/05a57185/9abd815a,fb84cda1-a6b0,6f969d6b-31d0
269ee5e3-3f95-48e1-bc27-430ccdc24b7e,93abc891,db6e4514/9699ae0b/0fc18ec1/195e53a6/93f8da7d/93abc891,5729c82e-8dd1,97e9a94f-9d49
01e795f0-2402-4c37-a0b8-77efbae3ba2f,6d7efdda,db6e4514/9699ae0b/0fc18ec1/195e53a6/9c5b6a47/3472e492/6d7efdda,fd7ab949-3f52,9ae5a6bc-2d7a
490c04ea-b9a3-4020-8c6e-16d920e53ed4,6c9e56d2,db6e4514/928d326d/b145f96e/1c3a1671/6c9e56d2,eced250d-6672,
4d851041-dcbd-4045-9b5a-d5b2b3d67f98,61134c57,db6e4514/928d326d/b145f96e/1c3a1671/0824afae/61134c57,9a99c3a9-0a36,9e5f5a05-31a0
5fff0f88-b511-406a-b8ac-1025b89c38a0,f7ac9307,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/f7ac9307,d8dcb0b2-fcda,e091ea61-7390
4e371415-7bf8-41af-9c03-d8cd89e0bddc,f5b826f8,db6e4514/9699ae0b/0fc18ec1/4aa2b4eb/734bd9ee/05a57185/f5b826f8,3f6b0357-2396,79c0bd46-6f60
cf3bb1d6-6c95-44c8-b8ed-4e6717c9441d,6d7efdda,db6e4514/9699ae0b/0fc18ec1/195e53a6/9c5b6a47/3472e492/6d7efdda,1b9123e1-0069,c9c7fc95-46f2
75293641-6b6c-4cf6-829b-ff4c1de16200,ff71e170,db6e4514/f67b30f8/0146acba/21f401d0/f06a9e28/2e332eda/ff71e170,8eedd797-3b95,9c2c860e-cd8f
c1d41db3-5f90-49e2-a443-f285b7b30a5d,c8d14aac,db6e4514/9699ae0b/0fc18ec1/4aa2b4eb/c8d14aac,aff48149-0276,9cbc34a1-e9bf
b35f7edd-292b-4f27-b8b4-05a6f44d73b2,068c35b0,db6e4514/9699ae0b/0fc18ec1/4d8a5187/b9e4f158/068c35b0,22e6d8b0-9e9a,7c7c53e4-59b4
27832efe-96ec-420e-b002-f8b63971ae62,01863d03,db6e4514/928d326d/b145f96e/3b90c15a/b8761741/13f8d0c1/01863d03,9f666467-fb8b,8e8e9a0e-4858
0e7c6283-eabd-4930-87dd-0b6d396fd8fc,931296dc,db6e4514/9699ae0b/0fc18ec1/4aa2b4eb/931296dc,79e5a270-8dd2,25e04ee4-e2a1
18c12c64-62f7-4c31-abf0-299fc77224f7,cc6514e3,db6e4514/9699ae0b/0fc18ec1/4aa2b4eb/cc6514e3,dea29ccb-a685,b6afaf12-f796
ada59586-d4fc-4237-9a5e-0f048897ddd0,73e97c7e,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/73e97c7e,598004df-9d4d,
85564743-2647-43a8-8093-a36cf4501ecc,ff71e170,db6e4514/f67b30f8/0146acba/21f401d0/f06a9e28/2e332eda/ff71e170,ce6e4097-7b15,
2d609c58-f357-4580-b00f-6963cd353e2b,7a0f3f68,db6e4514/928d326d/b145f96e/1c3a1671/9ec92cce/7a0f3f68,6327eaf7-746d,1df78249-9ba5
efb8ffc4-2337-4c37-813a-9d5b20e51a5a,73e97c7e,db6e4514/9699ae0b/0fc18ec1/ac2aef7a/73e97c7e,92e055b7-8c9b,da707d1d-07e5
4327fa96-1c84-4884-9e0e-be4f46e95a4f,9d34cc1c,db6e4514/1def83d5/1c71253d/98d0ce3e/9d34cc1c,d095c338-7e43,
